Timestamp,LossRate,Latency,Jitter,TotalPackets,MatchedPackets
1733532729.541448,0.00,0.00,0.00,0,0
1733532730.041621,0.00,0.00,0.00,0,0
1733532730.541813,0.00,0.00,0.00,0,0
1733532731.042024,0.00,0.00,0.00,0,0
1733532731.542230,0.00,0.00,0.00,0,0
1733532732.042441,0.00,0.00,0.00,0,0
1733532732.542708,0.00,0.00,0.00,0,0
1733532733.042969,0.00,0.00,0.00,0,0
1733532733.543232,0.00,0.00,0.00,0,0
1733532734.043465,0.00,0.00,0.00,0,0
1733532734.543706,0.00,0.00,0.00,0,0
1733532735.043972,0.00,0.00,0.00,0,0
1733532735.544190,0.00,0.00,0.00,0,0
1733532736.044464,0.00,0.00,0.00,0,0
1733532736.544706,0.00,0.00,0.00,0,0
1733532737.044914,0.00,0.00,0.00,0,0
1733532737.545091,0.00,0.00,0.00,0,0
1733532738.045266,0.00,0.00,0.00,0,0
1733532738.545422,0.00,0.00,0.00,0,0
1733532739.105838,0.00,0.00,0.00,0,0
1733532739.606069,0.00,0.00,0.00,0,0
1733532740.106350,0.00,0.00,0.00,0,0
1733532740.606619,0.00,0.00,0.00,0,0
1733532741.106853,0.00,0.00,0.00,0,0
1733532741.607140,0.00,0.00,0.00,0,0
1733532742.107315,0.00,0.00,0.00,0,0
1733532742.607507,0.00,0.00,0.00,0,0
1733532743.107687,0.00,0.00,0.00,0,0
1733532743.607878,0.00,0.00,0.00,0,0
1733532744.108145,0.00,0.00,0.00,0,0
1733532744.608390,0.00,0.00,0.00,0,0
1733532745.108599,0.00,0.00,0.00,0,0
1733532745.608839,0.00,0.00,0.00,0,0
1733532746.109043,0.00,0.00,0.00,0,0
1733532746.609248,0.00,0.00,0.00,0,0
1733532747.109422,0.00,0.00,0.00,0,0
1733532747.609597,0.00,0.00,0.00,0,0
1733532748.109783,0.00,0.00,0.00,0,0
1733532748.610042,0.00,0.00,0.00,0,0
1733532749.110197,0.00,0.00,0.00,0,0
1733532749.610373,0.00,0.00,0.00,0,0
1733532750.110588,0.00,0.00,0.00,0,0
1733532750.610854,0.00,0.00,0.00,0,0
1733532751.111053,0.00,0.00,0.00,0,0
1733532751.611278,0.00,0.00,0.00,0,0
1733532752.111487,0.00,0.00,0.00,0,0
1733532752.611678,0.00,0.00,0.00,0,0
1733532753.111873,0.00,0.00,0.00,0,0
1733532753.612039,0.00,0.00,0.00,0,0
1733532754.112211,0.00,0.00,0.00,0,0
1733532754.612377,0.00,0.00,0.00,0,0
1733532755.112533,0.00,0.00,0.00,0,0
1733532755.612750,0.00,0.00,0.00,0,0
1733532756.112961,0.00,0.00,0.00,0,0
1733532756.613133,0.00,0.00,0.00,0,0
1733532757.113301,0.00,0.00,0.00,0,0
1733532757.613503,0.00,0.00,0.00,0,0
1733532758.113700,0.00,0.00,0.00,0,0
1733532758.613908,0.00,0.00,0.00,0,0
1733532759.114132,0.00,0.00,0.00,0,0
1733532759.614364,0.00,0.00,0.00,0,0
1733532760.114650,0.00,0.00,0.00,0,0
1733532760.614948,0.00,0.00,0.00,0,0
1733532761.115190,0.00,0.00,0.00,0,0
1733532761.615471,0.00,0.00,0.00,0,0
1733532762.115691,0.00,0.00,0.00,0,0
1733532762.615885,0.00,0.00,0.00,0,0
1733532763.116175,0.00,0.00,0.00,0,0
1733532763.616416,0.00,0.00,0.00,0,0
1733532764.116645,0.00,0.00,0.00,0,0
1733532764.616927,0.00,0.00,0.00,0,0
1733532765.117146,0.00,0.00,0.00,0,0
1733532765.617348,0.00,0.00,0.00,0,0
